doc_id,url,sha256,bytes,fetched_at_utc
L000121390026053566_ea028958501ex99-1,https://www.sec.gov/Archives/edgar/data/1854368/000121390026053566/ea028958501ex99-1.htm,d9008328b3f8130ba3d5bc104c5f289b14f1a965a0f655ddab7090811d9cea52,29294,2026-09-24T00:53:26Z
L000121390026067329_ea029430601ex99-1,https://www.sec.gov/Archives/edgar/data/2042022/000121390026067329/ea029430601ex99-1.htm,b3806bc4983001b38f8fbdfe1e179c0fe4dbc6593681d61725190c4b4a6f74b6,41291,2026-09-24T00:53:26Z
L000121390026082561_ea0299459-8k_cleancore,https://www.sec.gov/Archives/edgar/data/1956741/000121390026082561/ea0299459-8k_cleancore.htm,921a804d8121a122e52be027477bb054beb76fbdda759f79b2a72825fc00a27f,49256,2026-09-24T00:53:26Z
L000121390026082561_ea029945901ex99-1,https://www.sec.gov/Archives/edgar/data/1956741/000121390026082561/ea029945901ex99-1.htm,eab02c034db3da4b3d45ad0f82471c07dcbc82e43948d6d239f29c421b804e31,17912,2026-09-24T00:53:26Z
L000121390026085655_ea030075201ex99-1,https://www.sec.gov/Archives/edgar/data/1899123/000121390026085655/ea030075201ex99-1.htm,6a2fcad92a5204dfdac8f2dabd061ecdc480942267e113ff2dc34837f37b8730,51238,2026-09-24T00:53:27Z
L000121390026087067_ea0301286-6k_bitdeer,https://www.sec.gov/Archives/edgar/data/1899123/000121390026087067/ea0301286-6k_bitdeer.htm,eb7791316ca8fd4b230055f1f66ee0efc4e3bbf1a874b44178e29db404504a84,32408,2026-09-24T00:53:27Z
L000121390026093742_ea030344101ex99-1,https://www.sec.gov/Archives/edgar/data/1899123/000121390026093742/ea030344101ex99-1.htm,ae9dfd30b8c79c6229b4f672baa47b9bf606e6b32de431102e66bd9ea46166a6,52523,2026-09-24T00:53:27Z
L000121390026099424_ea030525701ex99-1,https://www.sec.gov/Archives/edgar/data/2042022/000121390026099424/ea030525701ex99-1.htm,04f18de94e41505a0437efc3cfea1d10486d7e9ba7821d95ad0069a336d85109,44154,2026-09-24T00:53:27Z
L000149315225012458_ex99-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315225012458/ex99-1.htm,2ca9f9ccade9b766a42ea9bc98f3c8c65babf0fb2e6141a75d1c4fb890be70a9,17574,2026-09-24T00:53:28Z
L000149315225017609_ex99-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315225017609/ex99-1.htm,27985e59a36d46eca7086bc296ddad0529ef4f647393c8b1ec7a24ce540e6b96,18991,2026-09-24T00:53:28Z
L000149315225021955_ex99-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315225021955/ex99-1.htm,532e1f7a2f41596a04bd0b88eb5af8c204c076ddb9db4e832b0e312f7ab3973c,22912,2026-09-24T00:53:28Z
L000149315226008549_ex99-2,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008549/ex99-2.htm,0eb5f27699b5c82bb5c7f18719e5cb7d378ff97994eaa39648a95fdd765b07c5,20290,2026-09-24T00:53:29Z
